ANO;Natureza Receita;PREVISAO INICIAL DA RECEITA;PREVISAO ATUALIZADA DA RECEITA;RECEITA ORCAMENTARIA (LIQUIDA)
2025;CONC,PERM,AUT,CES.DIR.USO IMV.PUB-GER-PRINC.;;;0,00
2025;DELEG.P/EXPL.INFRAEST.TRANSP.AQUAVIARIO-PRINC;111460000,00;111460000,00;79246642,55
2025;SERV.ADMINISTRAT.E COMERCIAIS GERAIS-PRINC.;;;8,00
2025;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-PRINC.;5557888,00;5557888,00;1645943,49
2025;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR;893726,00;893726,00;278519,78
2025;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-DIV.AT.;;;981255,95
2024;DELEG.P/EXPL.INFRAEST.TRANSP.AQUAVIARIO-PRINC;169170000,00;169170000,00;218609598,88
2024;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-PRINC.;3899677,00;3899677,00;3838846,25
2024;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR;281155,00;281155,00;689459,34
2024;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-DIV.AT.;;;2370920,45
2024;MULTAS PREV.EM LEG.ESPECIFICA-DIV.AT-MUL.JUR.;;;661,57
2023;DELEG.P/EXPL.INFRAEST.TRANSP.AQUAVIARIO-PRINC;159190000,00;159190000,00;146859832,10
2023;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-PRINC.;5977818,00;5977818,00;4734729,02
2023;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR;174480,00;174480,00;582238,99
2023;MULTAS PREVISTAS EM LEGISL.ESPECIFICA-DIV.AT.;;;1794005,77
2023;MULTAS PREV.EM LEG.ESPECIFICA-DIV.AT-MUL.JUR.;;;165,06
